title,link,standardized_date,source,target,relation
Astra Announces Spacecraft Engine Contract with Apex,https://astra.com/news/astra-announces-spacecraft-engine-contract-with-apex/,2023-04-27,Astra,Apex,Supplier-Customer Relationships
Space Force Awards Astra New Launch Order for Rocket 4,https://astra.com/news/space-force-launch-rocket-4/,2023-04-21,Astra,U.S. Space Force,Supplier-Customer Relationships
Astra Announces Spacecraft Engine Contract with Astroscale,https://astra.com/news/spacecraft-engine-contract-with-astroscale/,2022-10-13,Astra,Astroscale,Supplier-Customer Relationships
Astra Announces Spacecraft Engine Contract with Maxar Technologies,https://astra.com/news/spacecraft-engine-contract-with-maxar-technologies/,2022-10-11,Astra,Maxar,Supplier-Customer Relationships
NASA Maintains Launch Contract with Astra,https://astra.com/news/nasa-contractual-astra/,2022-09-28,Astra,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Astra Announces Spacecraft Engine Contract with Airbus OneWeb Satellites,https://astra.com/news/astra-announces-airbus-oneweb-satellites/,2022-08-29,Astra,Airbus OneWeb Satellites,Supplier-Customer Relationships
Astra Announces Electric Propulsion System Contract with LeoStella,https://astra.com/news/electric-propulsion-system-contract-with-leostella/,2022-04-12,Astra,LeoStella,Supplier-Customer Relationships
Spaceflight Astra-1 Mission Gallery,https://astra.com/news/spaceflight-astra-1-mission/,2022-03-15,Astra,Spaceflight,Supplier-Customer Relationships
Astra and Spaceflight Inc. Announce Multi-Launch Contract,https://astra.com/news/astra-spaceflight-inc-announce-multi-launch-contract/,2022-03-14,Spaceflight,Astra,Supplier-Customer Relationships
Astra and Spaceflight Inc. Announce Multi-Launch Contract,https://astra.com/news/astra-spaceflight-inc-announce-multi-launch-contract/,2022-03-14,Spaceflight,NearSpace Launch,Supplier-Customer Relationships
Astra Awarded VADR Contract by NASA,https://astra.com/news/astra-awarded-vadr-contract-by-nasa/,2022-01-27,Astra,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Astra Announces LV0007 Launch Window for the United States Space Force,https://astra.com/news/lv0007-launch-window/,2021-10-12,Astra,Federal Aviation Administration,Regulatory Relationship
Launch and Learn: LV0006,https://astra.com/news/launch-and-learn-lv0006/,2021-10-12,Astra,Federal Aviation Administration,Regulatory Relationship
Astra’s Apollo Fusion Thruster Ignites on First Attempt in Orbit with Spaceflight,https://astra.com/news/apollo-fusion-thruster-spaceflight/,2021-08-24,Astra,Apollo Fusion,Mergers and Acquisitions
Astra Awarded Orbital Services Program (OSP)-4 Contract by the Space Force,https://astra.com/news/astra-awarded-orbital-services-program-osp-4-contract-by-the-space-force/,2021-08-09,Astra,U.S. Space Force,Supplier-Customer Relationships
Astra Announces Multi-Launch Contract and First Launch with Department of Defense,https://astra.com/news/stp-27ad1/,2021-08-05,Astra,Department of Defense (DoD),Supplier-Customer Relationships
Astra Announces Multi-Launch Contract and First Launch with Department of Defense,https://astra.com/news/stp-27ad1/,2021-08-05,Astra,U.S. Space Force,Supplier-Customer Relationships
Astra Announces Multi-Launch Contract and First Launch with Department of Defense,https://astra.com/news/stp-27ad1/,2021-08-05,Astra,Defense Innovation Unit (DIU),Supplier-Customer Relationships
"Holicity Inc. Announces Effectiveness of Registration Statement for Proposed Business Combination with Astra Space, Inc.",https://astra.com/press-releases/holicity-inc-announces-effectiveness-of-registration-statement-for-proposed-business-combination-with-astra-space-inc/,2021-06-08,Astra,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
"Holicity Inc. Announces Effectiveness of Registration Statement for Proposed Business Combination with Astra Space, Inc.",https://astra.com/press-releases/holicity-inc-announces-effectiveness-of-registration-statement-for-proposed-business-combination-with-astra-space-inc/,2021-06-08,Astra,Planet,Supplier-Customer Relationships
"Holicity Inc. Announces Effectiveness of Registration Statement for Proposed Business Combination with Astra Space, Inc.",https://astra.com/press-releases/holicity-inc-announces-effectiveness-of-registration-statement-for-proposed-business-combination-with-astra-space-inc/,2021-06-08,Astra,Apollo Fusion,Mergers and Acquisitions
Astra Acquires Apollo Fusion to Reach New Orbits,https://astra.com/news/astra-acquires-apollo-fusion-to-reach-new-orbits/,2021-06-07,Astra,Apollo Fusion,Mergers and Acquisitions
Astra Announces Multi-Launch Contract with Planet,https://astra.com/press-releases/astra-announces-multi-launch-contract-with-planet/,2021-05-19,Astra,Planet,Supplier-Customer Relationships
Planet Labs: Using space to help life on Earth,https://astra.com/news/planet-labs-using-space-to-help-life-on-earth/,2021-05-18,Astra,Planet,Supplier-Customer Relationships
NASA TROPICS: Astra’s first Earth Science mission,https://astra.com/news/nasa-tropics-astras-first-earth-science-mission/,2021-05-10,National Aeronautics and Space Administration (NASA),Astra,Supplier-Customer Relationships
Astra Teams Up With NASA to Help Study Hurricanes,https://astra.com/news/astra-teams-up-with-nasa-to-help-study-hurricanes/,2021-03-03,Astra,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Astra to become the first publicly traded space launch company on NASDAQ via merger with Holicity,https://astra.com/news/astra-to-become-the-first-publicly-traded-space-launch-company-on-nasdaq-via-merger-with-holicity/,2021-02-02,BlackRock,Astra,Investment and Financial Partnerships
Spire Global Awarded Space Services Contract by Lacuna Space to Build and Operate Six Satellites for a Dedicated IoT Constellation,https://spire.com/press-release/spire-global-awarded-space-services-contract-by-lacuna-space-to-build-and-operate-six-satellites-for-a-dedicated-iot-constellation/,2023-12-05,Spire,Lacuna Space,Supplier-Customer Relationships
Spire Global Unveils Satellite Mission Operations Platform,https://spire.com/press-release/spire-global-unveils-satellite-mission-operations-platform/,2023-11-14,European Space Agency (ESA),Spire,Investment and Financial Partnerships
Spire Global Unveils Satellite Mission Operations Platform,https://spire.com/press-release/spire-global-unveils-satellite-mission-operations-platform/,2023-11-14,Luxembourg Space Agency,Spire,Investment and Financial Partnerships
Spire Global Unveils Satellite Mission Operations Platform,https://spire.com/press-release/spire-global-unveils-satellite-mission-operations-platform/,2023-11-14,Spire,Amazon Web Services,Supplier-Customer Relationships
Spire Global Successfully Launched 11 Satellites on SpaceX’s Transporter-9 Mission,https://spire.com/press-release/spire-global-successfully-launched-11-satellites-on-spacexs-transporter-9-mission/,2023-11-11,Spire,Exolaunch,Supplier-Customer Relationships
Spire Global Successfully Launched 11 Satellites on SpaceX’s Transporter-9 Mission,https://spire.com/press-release/spire-global-successfully-launched-11-satellites-on-spacexs-transporter-9-mission/,2023-11-11,Exolaunch,SpaceX,Supplier-Customer Relationships
Spire Global Successfully Launched 11 Satellites on SpaceX’s Transporter-9 Mission,https://spire.com/press-release/spire-global-successfully-launched-11-satellites-on-spacexs-transporter-9-mission/,2023-11-11,Spire,SpaceX,Supplier-Customer Relationships
Spire Global Announces Strong Third Quarter 2023 Results; Reaffirms Expectations for Positive Cash Flow from Operations by Year End; Increases Revenue and Earnings Guidance,https://spire.com/press-release/spire-global-announces-strong-third-quarter-2023-results/,2023-11-08,Spire,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Spire Global Announces Strong Third Quarter 2023 Results; Reaffirms Expectations for Positive Cash Flow from Operations by Year End; Increases Revenue and Earnings Guidance,https://spire.com/press-release/spire-global-announces-strong-third-quarter-2023-results/,2023-11-08,Spire,NOAA,Supplier-Customer Relationships
Spire Global Announces Strong Third Quarter 2023 Results; Reaffirms Expectations for Positive Cash Flow from Operations by Year End; Increases Revenue and Earnings Guidance,https://spire.com/press-release/spire-global-announces-strong-third-quarter-2023-results/,2023-11-08,Spire,GHGSat,Supplier-Customer Relationships
Spire Global Announces Strong Third Quarter 2023 Results; Reaffirms Expectations for Positive Cash Flow from Operations by Year End; Increases Revenue and Earnings Guidance,https://spire.com/press-release/spire-global-announces-strong-third-quarter-2023-results/,2023-11-08,Spire,exactEarth,Mergers and Acquisitions
NASA selects Umbra for its CSDA Program,https://umbra.space/blog/nasa-selects-umbra-for-its-csda-program,2023-10-03,Umbra,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Umbra partners with EUSI to Offer SAR Imagery to European Remote Sensing Projects,https://umbra.space/blog/eusi-partners-with-umbra-to-offer-sar-imagery-to-european-remote-sensing-projects,2023-09-04,Umbra,European Space Imaging,Strategic Alliances
Umbra Selected by AFWERX for $1.25M SBIR Phase II Contract,https://umbra.space/blog/umbra-selected-by-afwerx-for-sbir-phase-ii-contract,2023-08-22,Umbra,AFWERX,Supplier-Customer Relationships
Umbra Selected by AFWERX for $1.25M SBIR Phase II Contract,https://umbra.space/blog/umbra-selected-by-afwerx-for-sbir-phase-ii-contract,2023-08-22,Umbra,Air Force Research Laboratory (AFRL),Supplier-Customer Relationships
Umbra Selected by AFWERX for $1.25M SBIR Phase II Contract,https://umbra.space/blog/umbra-selected-by-afwerx-for-sbir-phase-ii-contract,2023-08-22,AFWERX,Air Force Research Laboratory (AFRL),Strategic Alliances
DARPA Selects Umbra for their DRIFT Program,https://umbra.space/blog/darpa-selects-umbra-for-their-drift-program,2023-05-22,Defense Advanced Research Projects Agency,Umbra,Research and Development Collaborations
Umbra And Ursa Space Empower Global Market With Advanced SAR Analytics Through Strategic Partnership,https://umbra.space/blog/umbra-and-ursa-space-empower-global-market-with-advanced-sar-analytics-through-strategic-partnership,2023-05-18,Umbra,Ursa,Supplier-Customer Relationships
Maxar Secures Dedicated Access to Umbra’s SAR Constellation,https://umbra.space/blog/maxar-secures-dedicated-access-to-umbras-sar-constellation,2023-02-14,Maxar,Umbra,Supplier-Customer Relationships
NRO selects Umbra for Commercial RF Capabilities Study,https://umbra.space/blog/nro-selects-umbra-for-commercial-rf-capabilities-study,2022-09-28,National Reconnaissance Office (NRO),Umbra,Supplier-Customer Relationships
NRO Selects Umbra for their Strategic Commercial Enhancements Effort,https://umbra.space/blog/nro-selects-umbra-for-their-strategic-commercial-enhancements-effort,2022-01-20,National Reconnaissance Office (NRO),Umbra,Supplier-Customer Relationships
Umbra Awarded $950M Ceiling IDIQ Contract Following SpaceX Launch,https://umbra.space/blog/umbra-awarded-950m-idiq-contract-following-space-x-launch,2021-07-16,Umbra,Boeing,Contract Teaming
Umbra Awarded $950M Ceiling IDIQ Contract Following SpaceX Launch,https://umbra.space/blog/umbra-awarded-950m-idiq-contract-following-space-x-launch,2021-07-16,Umbra,L3Harris,Contract Teaming
Umbra Awarded $950M Ceiling IDIQ Contract Following SpaceX Launch,https://umbra.space/blog/umbra-awarded-950m-idiq-contract-following-space-x-launch,2021-07-16,Umbra,Lockheed Martin,Contract Teaming
Umbra Awarded $950M Ceiling IDIQ Contract Following SpaceX Launch,https://umbra.space/blog/umbra-awarded-950m-idiq-contract-following-space-x-launch,2021-07-16,Umbra,Northrop Grumman,Contract Teaming
Umbra Awarded $950M Ceiling IDIQ Contract Following SpaceX Launch,https://umbra.space/blog/umbra-awarded-950m-idiq-contract-following-space-x-launch,2021-07-16,Umbra,Palantir,Contract Teaming
Umbra Awarded $950M Ceiling IDIQ Contract Following SpaceX Launch,https://umbra.space/blog/umbra-awarded-950m-idiq-contract-following-space-x-launch,2021-07-16,Umbra,Raytheon,Contract Teaming
No title found,https://www.sierraspace.com/newsroom/press-releases/sierra-space-secures-darpa-contract-for-lunar-oxygen-extraction-framework-for-luna-10-capability-study/,,Sierra Space,Defense Advanced Research Projects Agency,Research and Development Collaborations
No title found,https://www.sierraspace.com/newsroom/press-releases/sierra-space-introduces-dream-chaser-spaceplane-tenacity/,,Sierra Space,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
No title found,https://www.sierraspace.com/newsroom/press-releases/sierra-space-introduces-dream-chaser-spaceplane-tenacity/,,Sierra Space,United Launch Alliance,Supplier-Customer Relationships
No title found,https://www.sierraspace.com/newsroom/blog/sierra-spaces-microgravity-platform-for-the-new-space-economy/,,Sierra Space,BioServe Technologies,Joint Product Development
